Location,Suburb,Postcode,State,Zone
DOLPHIN HEADS 4740,Dolphin Heads,4740,Queensland,Mackay
DON 7310,Don,7310,Tasmania,Launceston
DONCASTER 3108,Doncaster,3108,Victoria,Melbourne
DONCASTER EAST 3109,Doncaster East,3109,Victoria,Melbourne
DONCASTER HEIGHTS 3109,Doncaster Heights,3109,Victoria,Melbourne
DONNELLYVILLE 2447,Donnellyville,2447,New South Wales,Remote
DONVALE 3111,Donvale,3111,Victoria,Melbourne
DOOLANDELLA 4077,Doolandella,4077,Queensland,Brisbane
DOONAN 4562,Doonan,4562,Queensland,Sunshine Coast
DOONSIDE 2767,Doonside,2767,New South Wales,Sydney
DOORALONG 2259,Dooralong,2259,New South Wales,Central Coast
DORA CREEK 2264,Dora Creek,2264,New South Wales,Newcastle
DORRIGO 2453,Dorrigo,2453,New South Wales,Remote
DORRIGO MOUNTAIN 2453,Dorrigo Mountain,2453,New South Wales,Remote
DOTSWOOD 4820,Dotswood,4820,Queensland,Townsville
DOUBLE BAY 2028,Double Bay,2028,New South Wales,Sydney
DOUBLEVIEW 6018,Doubleview,6018,Western Australia,Perth
DOUGLAS 4814,Douglas,4814,Queensland,Townsville
DOVER GARDENS 5048,Dover Gardens,5048,South Australia,Adelaide
DOVER HEIGHTS 2030,Dover Heights,2030,New South Wales,Sydney
DOVETON 3177,Doveton,3177,Victoria,Melbourne
DOWNER 2602,Downer,2602,Australian Capital Territory,Canberra
DOWNLANDS 7320,Downlands,7320,Tasmania,Launceston
DOWSING POINT 7010,Dowsing Point,7010,Tasmania,Hobart
DOYALSON 2262,Doyalson,2262,New South Wales,Central Coast
DOYALSON NORTH 2262,Doyalson North,2262,New South Wales,Central Coast
DRAYTON 4350,Drayton,4350,Queensland,Toowoomba
DRAYTON NORTH 4350,Drayton North,4350,Queensland,Toowoomba
DREWVALE 4116,Drewvale,4116,Queensland,Brisbane
DRIVER 0830,Driver,0830,Northern Territory,Remote
DROMANA 3936,Dromana,3936,Victoria,Melbourne
DROUIN 3818,Drouin,3818,Victoria,Latrobe Valley
DROUIN EAST 3818,Drouin East,3818,Victoria,Latrobe Valley
DROUIN SOUTH 3818,Drouin South,3818,Victoria,Latrobe Valley
DROUIN WEST 3818,Drouin West,3818,Victoria,Latrobe Valley
DRUMCONDRA 3215,Drumcondra,3215,Victoria,Geelong
DRUMMOYNE 2047,Drummoyne,2047,New South Wales,Sydney
DRY CREEK 5094,Dry Creek,5094,South Australia,Adelaide
DRYSDALE 3222,Drysdale,3222,Victoria,Geelong
DUBBO 2830,Dubbo,2830,New South Wales,Remote
DUBBO DC 2830,Dubbo DC,2830,New South Wales,Remote
DUBBO EAST 2830,Dubbo East,2830,New South Wales,Remote
DUBBO GROVE 2830,Dubbo Grove,2830,New South Wales,Remote
DUBBO WEST 2830,Dubbo West,2830,New South Wales,Remote
DUDLEY 2290,Dudley,2290,New South Wales,Newcastle
DUDLEY PARK 5008,Dudley Park,5008,South Australia,Adelaide
DUDLEY PARK 6210,Dudley Park,6210,Western Australia,Perth
DUFFY 2611,Duffy,2611,Australian Capital Territory,Canberra
DUFFYS FOREST 2084,Duffys Forest,2084,New South Wales,Sydney
DULONG 4560,Dulong,4560,Queensland,Sunshine Coast
DULWICH 5065,Dulwich,5065,South Australia,Adelaide
DULWICH HILL 2203,Dulwich Hill,2203,New South Wales,Sydney
DUMARESQ ISLAND 2430,Dumaresq Island,2430,New South Wales,Port Macquarie
DUMBLETON 4740,Dumbleton,4740,Queensland,Mackay
DUNBOGAN 2443,Dunbogan,2443,New South Wales,Port Macquarie
DUNCRAIG 6023,Duncraig,6023,Western Australia,Perth
DUNDAS 2117,Dundas,2117,New South Wales,Sydney
DUNDAS VALLEY 2117,Dundas Valley,2117,New South Wales,Sydney
DUNDATHU 4650,Dundathu,4650,Queensland,Wide Bay
DUNDOWRAN 4655,Dundowran,4655,Queensland,Wide Bay
DUNDOWRAN BEACH 4655,Dundowran Beach,4655,Queensland,Wide Bay
DUNDULA 4740,Dundula,4740,Queensland,Mackay
DUNEARN 3175,Dunearn,3175,Victoria,Melbourne
DUNKIRK 3630,Dunkirk,3630,Victoria,Bendigo
DUNLOP 2615,Dunlop,2615,Australian Capital Territory,Canberra
DUNMORE 2529,Dunmore,2529,New South Wales,Wollongong
DUNNROCK 4740,Dunnrock,4740,Queensland,Mackay
DUNOLLY 2330,Dunolly,2330,New South Wales,Newcastle
DUNTROON 2600,Duntroon,2600,Australian Capital Territory,Canberra
DURACK 0830,Durack,0830,Northern Territory,Remote
DURACK 4077,Durack,4077,Queensland,Brisbane
DURAL 2158,Dural,2158,New South Wales,Sydney
DURANBAH 2487,Duranbah,2487,New South Wales,Gold Coast
DURREN DURREN 2259,Durren Durren,2259,New South Wales,Central Coast
DUTTON PARK 4102,Dutton Park,4102,Queensland,Brisbane
DYNNYRNE 7005,Dynnyrne,7005,Tasmania,Hobart
EAGLE FARM 4009,Eagle Farm,4009,Queensland,Brisbane
EAGLE FARM BC 4009,Eagle Farm BC,4009,Queensland,Brisbane
EAGLE HEIGHTS 4271,Eagle Heights,4271,Queensland,Gold Coast
EAGLE VALE 2558,Eagle Vale,2558,New South Wales,Sydney
EAGLEBY 4207,Eagleby,4207,Queensland,Brisbane
EAGLEHAWK 3556,Eaglehawk,3556,Victoria,Bendigo
EAGLEHAWK NORTH 3556,Eaglehawk North,3556,Victoria,Bendigo
EAGLEMONT 3084,Eaglemont,3084,Victoria,Melbourne
EARLVILLE 4870,Earlville,4870,Queensland,Cairns
EARLVILLE BC 4870,Earlville BC,4870,Queensland,Cairns
EARLWOOD 2206,Earlwood,2206,New South Wales,Sydney
EAST ALBURY 2640,East Albury,2640,New South Wales,Albury
EAST ARM 0822,East Arm,0822,Northern Territory,Remote
EAST BALLINA 2478,East Ballina,2478,New South Wales,Northern Rivers
EAST BENDIGO 3550,East Bendigo,3550,Victoria,Bendigo
EAST BOWRAL 2576,East Bowral,2576,New South Wales,Wollongong
EAST BRANXTON 2335,East Branxton,2335,New South Wales,Newcastle
EAST BRISBANE 4169,East Brisbane,4169,Queensland,Brisbane
EAST CANNINGTON 6107,East Cannington,6107,Western Australia,Perth
EAST CORAKI 2471,East Coraki,2471,New South Wales,Northern Rivers
EAST CORRIMAL 2518,East Corrimal,2518,New South Wales,Wollongong
EAST DEVONPORT 7310,East Devonport,7310,Tasmania,Launceston
EAST FREMANTLE 6158,East Fremantle,6158,Western Australia,Perth
EAST GEELONG 3219,East Geelong,3219,Victoria,Geelong
EAST GOSFORD 2250,East Gosford,2250,New South Wales,Central Coast
EAST GREENMOUNT 4359,East Greenmount,4359,Queensland,Toowoomba
EAST HILLS 2213,East Hills,2213,New South Wales,Sydney
EAST INNISFAIL 4860,East Innisfail,4860,Queensland,Cairns
EAST IPSWICH 4305,East Ipswich,4305,Queensland,Brisbane
EAST KILLARA 2071,East Killara,2071,New South Wales,Sydney
EAST LAUNCESTON 7250,East Launceston,7250,Tasmania,Launceston
EAST LINDFIELD 2070,East Lindfield,2070,New South Wales,Sydney
EAST LISMORE 2480,East Lismore,2480,New South Wales,Northern Rivers
EAST MACKAY 4740,East Mackay,4740,Queensland,Mackay
EAST MAITLAND 2323,East Maitland,2323,New South Wales,Newcastle
EAST MELBOURNE 3002,East Melbourne,3002,Victoria,Melbourne
EAST PERTH 6004,East Perth,6004,Western Australia,Perth
EAST POINT 0820,East Point,0820,Northern Territory,Remote
EAST ROCKINGHAM 6168,East Rockingham,6168,Western Australia,Perth
EAST RYDE 2113,East Ryde,2113,New South Wales,Sydney
EAST TAMWORTH 2340,East Tamworth,2340,New South Wales,Remote
EAST TOOWOOMBA 4350,East Toowoomba,4350,Queensland,Toowoomba
EAST VICTORIA PARK 6101,East Victoria Park,6101,Western Australia,Perth
EAST WAGGA WAGGA 2650,East Wagga Wagga,2650,New South Wales,Albury
EAST WANGARATTA 3678,East Wangaratta,3678,Victoria,Albury
EAST WARDELL 2477,East Wardell,2477,New South Wales,Northern Rivers
EASTERN CREEK 2766,Eastern Creek,2766,New South Wales,Sydney
EASTERN HEIGHTS 4305,Eastern Heights,4305,Queensland,Brisbane
EASTERN SUBURBS MC 2004,Eastern Suburbs Mc,2004,New South Wales,Sydney
EASTERN VIEW 3231,Eastern View,3231,Victoria,Geelong
EASTGARDENS 2036,Eastgardens,2036,New South Wales,Sydney
EASTLAKES 2018,Eastlakes,2018,New South Wales,Sydney
EASTWOOD 2122,Eastwood,2122,New South Wales,Sydney
EASTWOOD 5063,Eastwood,5063,South Australia,Adelaide
EATON 0820,Eaton,0820,Northern Territory,Remote
EATONS HILL 4037,Eatons Hill,4037,Queensland,Brisbane
EBBW VALE 4304,Ebbw Vale,4304,Queensland,Brisbane
ECHUCA 3564,Echuca,3564,Victoria,Bendigo
ECHUCA SOUTH 3564,Echuca South,3564,Victoria,Bendigo
ECHUCA VILLAGE 3564,Echuca Village,3564,Victoria,Bendigo
ECHUCA WEST 3564,Echuca West,3564,Victoria,Bendigo
ECHUNGA 5153,Echunga,5153,South Australia,Adelaide
EDEN HILL 6054,Eden Hill,6054,Western Australia,Perth
EDEN HILLS 5050,Eden Hills,5050,South Australia,Adelaide
EDENS LANDING 4207,Edens Landing,4207,Queensland,Brisbane
EDENSOR PARK 2176,Edensor Park,2176,New South Wales,Sydney
EDGE HILL 4870,Edge Hill,4870,Queensland,Cairns
EDGECLIFF 2027,Edgecliff,2027,New South Wales,Sydney
EDGECOMBE 3444,Edgecombe,3444,Victoria,Bendigo
EDGEWATER 6027,Edgewater,6027,Western Australia,Perth
EDGEWORTH 2285,Edgeworth,2285,New South Wales,Newcastle
EDINBURGH 5111,Edinburgh,5111,South Australia,Adelaide
EDINBURGH NORTH 5113,Edinburgh North,5113,South Australia,Adelaide
EDINBURGH RAAF 5111,Edinburgh Raaf,5111,South Australia,Adelaide
EDITHVALE 3196,Edithvale,3196,Victoria,Melbourne
EDMONDSON PARK 2174,Edmondson Park,2174,New South Wales,Sydney
EDMONTON 4869,Edmonton,4869,Queensland,Cairns
EDWARDSTOWN 5039,Edwardstown,5039,South Australia,Adelaide
EERWAH VALE 4562,Eerwah Vale,4562,Queensland,Sunshine Coast
EGLINTON 2795,Eglinton,2795,New South Wales,Remote
EGLINTON 6034,Eglinton,6034,Western Australia,Perth
EIGHT MILE PLAINS 4113,Eight Mile Plains,4113,Queensland,Brisbane
EIMEO 4740,Eimeo,4740,Queensland,Mackay
EL ARISH 4855,El Arish,4855,Queensland,Cairns
ELAMAN CREEK 4552,Elaman Creek,4552,Queensland,Sunshine Coast
ELANORA 4221,Elanora,4221,Queensland,Gold Coast
ELANORA HEIGHTS 2101,Elanora Heights,2101,New South Wales,Sydney
ELDERSLIE 2570,Elderslie,2570,New South Wales,Sydney
ELEEBANA 2282,Eleebana,2282,New South Wales,Newcastle
ELERMORE VALE 2287,Elermore Vale,2287,New South Wales,Newcastle
ELI WATERS 4655,Eli Waters,4655,Queensland,Wide Bay
ELIMBAH 4516,Elimbah,4516,Queensland,Sunshine Coast
ELIZABETH 5112,Elizabeth,5112,South Australia,Adelaide
ELIZABETH BAY 2011,Elizabeth Bay,2011,New South Wales,Sydney
ELIZABETH BEACH 2428,Elizabeth Beach,2428,New South Wales,Port Macquarie
ELIZABETH DOWNS 5113,Elizabeth Downs,5113,South Australia,Adelaide
ELIZABETH EAST 5112,Elizabeth East,5112,South Australia,Adelaide
ELIZABETH GROVE 5112,Elizabeth Grove,5112,South Australia,Adelaide
ELIZABETH HILLS 2171,Elizabeth Hills,2171,New South Wales,Sydney
ELIZABETH NORTH 5113,Elizabeth North,5113,South Australia,Adelaide
ELIZABETH PARK 5113,Elizabeth Park,5113,South Australia,Adelaide
ELIZABETH SOUTH 5112,Elizabeth South,5112,South Australia,Adelaide
ELIZABETH TOWN 7304,Elizabeth Town,7304,Tasmania,Launceston
ELIZABETH VALE 5112,Elizabeth Vale,5112,South Australia,Adelaide
ELIZABETH WEST 5113,Elizabeth West,5113,South Australia,Adelaide
ELIZABETH WEST DC 5113,Elizabeth West DC,5113,South Australia,Adelaide
ELLALONG 2325,Ellalong,2325,New South Wales,Newcastle
ELLEN GROVE 4078,Ellen Grove,4078,Queensland,Brisbane
ELLENBROOK 6069,Ellenbrook,6069,Western Australia,Perth
ELLIMINYT 3250,Elliminyt,3250,Victoria,Geelong
ELLIOTT 4670,Elliott,4670,Queensland,Wide Bay
ELLIOTT HEADS 4670,Elliott Heads,4670,Queensland,Wide Bay
ELLIS BEACH 4879,Ellis Beach,4879,Queensland,Cairns
ELLIS LANE 2570,Ellis Lane,2570,New South Wales,Sydney
ELMORE 3558,Elmore,3558,Victoria,Bendigo
ELPHINSTONE 3448,Elphinstone,3448,Victoria,Bendigo
ELRUNDIE 0822,Elrundie,0822,Northern Territory,Remote
ELSTERNWICK 3185,Elsternwick,3185,Victoria,Melbourne
ELTHAM 2480,Eltham,2480,New South Wales,Northern Rivers
ELTHAM 3095,Eltham,3095,Victoria,Melbourne
ELTHAM NORTH 3095,Eltham North,3095,Victoria,Melbourne
ELWOOD 3184,Elwood,3184,Victoria,Melbourne
EMBLETON 6062,Embleton,6062,Western Australia,Perth
EMERALD BEACH 2456,Emerald Beach,2456,New South Wales,Coffs Harbour
EMERTON 2770,Emerton,2770,New South Wales,Sydney
EMPIRE BAY 2257,Empire Bay,2257,New South Wales,Central Coast
EMU CREEK 3551,Emu Creek,3551,Victoria,Bendigo
EMU HEIGHTS 2750,Emu Heights,2750,New South Wales,Sydney
EMU HEIGHTS 7320,Emu Heights,7320,Tasmania,Launceston
EMU PARK 4710,Emu Park,4710,Queensland,Capricorn Coast
EMU PLAINS 2750,Emu Plains,2750,New South Wales,Sydney
ENDEAVOUR HILLS 3802,Endeavour Hills,3802,Victoria,Melbourne
ENFIELD 2136,Enfield,2136,New South Wales,Sydney
ENFIELD 5085,Enfield,5085,South Australia,Adelaide
ENFIELD PLAZA 5085,Enfield Plaza,5085,South Australia,Adelaide
ENFIELD SOUTH 2133,Enfield South,2133,New South Wales,Sydney
ENGADINE 2233,Engadine,2233,New South Wales,Sydney
ENGLORIE PARK 2560,Englorie Park,2560,New South Wales,Sydney
ENMORE 2042,Enmore,2042,New South Wales,Sydney
ENOGGERA 4051,Enoggera,4051,Queensland,Brisbane
ENOGGERA RESERVOIR 4520,Enoggera Reservoir,4520,Queensland,Brisbane
ENVIRONA 2620,Environa,2620,New South Wales,Canberra
EPPALOCK 3551,Eppalock,3551,Victoria,Bendigo
EPPING 2121,Epping,2121,New South Wales,Sydney
EPPING 3076,Epping,3076,Victoria,Melbourne
EPPING DC 3076,Epping Dc,3076,Victoria,Melbourne
EPSOM 3551,Epsom,3551,Victoria,Bendigo
EPSOM 4741,Epsom,4741,Queensland,Mackay
ERAKALA 4740,Erakala,4740,Queensland,Mackay
ERARING 2264,Eraring,2264,New South Wales,Newcastle
ERINA 2250,Erina,2250,New South Wales,Central Coast
ERINA FAIR 2250,Erina Fair,2250,New South Wales,Central Coast
ERINA HEIGHTS 2260,Erina Heights,2260,New South Wales,Central Coast
ERINDALE 5066,Erindale,5066,South Australia,Adelaide
ERINDALE CENTRE 2903,Erindale Centre,2903,Australian Capital Territory,Canberra
ERMINGTON 2115,Ermington,2115,New South Wales,Sydney
EROWAL BAY 2540,Erowal Bay,2540,New South Wales,Wollongong
ERSKINE 6210,Erskine,6210,Western Australia,Perth
ERSKINE PARK 2759,Erskine Park,2759,New South Wales,Sydney
ERSKINEVILLE 2043,Erskineville,2043,New South Wales,Sydney
ESCHOL PARK 2558,Eschol Park,2558,New South Wales,Sydney
ESSENDON 3040,Essendon,3040,Victoria,Melbourne
ESSENDON FIELDS 3041,Essendon Fields,3041,Victoria,Melbourne
ESSENDON NORTH 3041,Essendon North,3041,Victoria,Melbourne
ESSENDON WEST 3040,Essendon West,3040,Victoria,Melbourne
ESTELLA 2650,Estella,2650,New South Wales,Albury
ETHELTON 5015,Ethelton,5015,South Australia,Adelaide
ETON 4741,Eton,4741,Queensland,Mackay
ETTALONG BEACH 2257,Ettalong Beach,2257,New South Wales,Central Coast
ETTY BAY 4858,Etty Bay,4858,Queensland,Cairns
EUDLO 4554,Eudlo,4554,Queensland,Sunshine Coast
EUMEMMERRING 3177,Eumemmerring,3177,Victoria,Melbourne
EUMUNDI 4562,Eumundi,4562,Queensland,Sunshine Coast
EUNGAI CREEK 2441,Eungai Creek,2441,New South Wales,Port Macquarie
EUNGAI RAIL 2441,Eungai Rail,2441,New South Wales,Port Macquarie
EUREKA 3350,Eureka,3350,Victoria,Geelong
EVANDALE 5069,Evandale,5069,South Australia,Adelaide
EVANDALE 7212,Evandale,7212,Tasmania,Launceston
EVANS HEAD 2473,Evans Head,2473,New South Wales,Northern Rivers
EVANSTON 5116,Evanston,5116,South Australia,Adelaide
EVANSTON GARDENS 5116,Evanston Gardens,5116,South Australia,Adelaide
EVANSTON PARK 5116,Evanston Park,5116,South Australia,Adelaide
EVANSTON SOUTH 5116,Evanston South,5116,South Australia,Adelaide
EVATT 2617,Evatt,2617,Australian Capital Territory,Canberra
EVELEIGH 2015,Eveleigh,2015,New South Wales,Sydney
EVERARD PARK 5035,Everard Park,5035,South Australia,Adelaide
EVERTON HILLS 4053,Everton Hills,4053,Queensland,Brisbane
EVERTON PARK 4053,Everton Park,4053,Queensland,Brisbane
EWINGSDALE 2481,Ewingsdale,2481,New South Wales,Northern Rivers
EXETER 2579,Exeter,2579,New South Wales,Wollongong
EXETER 5019,Exeter,5019,South Australia,Adelaide
EXETER 7275,Exeter,7275,Tasmania,Launceston
EXTON 7303,Exton,7303,Tasmania,Launceston
FADDEN 2904,Fadden,2904,Australian Capital Territory,Canberra
FAILFORD 2430,Failford,2430,New South Wales,Port Macquarie
FAIRFIELD 2165,Fairfield,2165,New South Wales,Sydney
FAIRFIELD 3078,Fairfield,3078,Victoria,Melbourne
FAIRFIELD 4103,Fairfield,4103,Queensland,Brisbane
FAIRFIELD EAST 2165,Fairfield East,2165,New South Wales,Sydney
FAIRFIELD GARDENS 4103,Fairfield Gardens,4103,Queensland,Brisbane
FAIRFIELD HEIGHTS 2165,Fairfield Heights,2165,New South Wales,Sydney
FAIRFIELD WEST 2165,Fairfield West,2165,New South Wales,Sydney
FAIRHAVEN 3231,Fairhaven,3231,Victoria,Geelong
FAIRLIGHT 2094,Fairlight,2094,New South Wales,Sydney
FAIRNEY VIEW 4306,Fairney View,4306,Queensland,Brisbane
FAIRVIEW PARK 5126,Fairview Park,5126,South Australia,Adelaide
FAIRY BOWER 4700,Fairy Bower,4700,Queensland,Capricorn Coast
FAIRY DELL 3561,Fairy Dell,3561,Victoria,Bendigo
FAIRY MEADOW 2519,Fairy Meadow,2519,New South Wales,Wollongong
FAIRYMEAD 4670,Fairymead,4670,Queensland,Wide Bay
FALCON 6210,Falcon,6210,Western Australia,Perth
FALLS CREEK 2540,Falls Creek,2540,New South Wales,Wollongong
FANNIE BAY 0820,Fannie Bay,0820,Northern Territory,Remote
FARADAY 3451,Faraday,3451,Victoria,Bendigo
FARLEIGH 4741,Farleigh,4741,Queensland,Mackay
FARLEY 2320,Farley,2320,New South Wales,Newcastle
FARMBOROUGH HEIGHTS 2526,Farmborough Heights,2526,New South Wales,Wollongong
FARNSFIELD 4660,Farnsfield,4660,Queensland,Wide Bay
FARRAR 0830,Farrar,0830,Northern Territory,Remote
FARRER 2607,Farrer,2607,Australian Capital Territory,Canberra
FASSIFERN 2283,Fassifern,2283,New South Wales,Newcastle
FAULCONBRIDGE 2776,Faulconbridge,2776,New South Wales,Sydney
FAWKNER 3060,Fawkner,3060,Victoria,Melbourne
FEDERAL 4568,Federal,4568,Queensland,Sunshine Coast
FELIXSTOW 5070,Felixstow,5070,South Australia,Adelaide
FELUGA 4854,Feluga,4854,Queensland,Cairns
FENNELL BAY 2283,Fennell Bay,2283,New South Wales,Newcastle
FERN BAY 2295,Fern Bay,2295,New South Wales,Newcastle
FERNBANK CREEK 2444,Fernbank Creek,2444,New South Wales,Port Macquarie
FERNDALE 6148,Ferndale,6148,Western Australia,Perth
FERNHILL 2519,Fernhill,2519,New South Wales,Wollongong
FERNMOUNT 2454,Fernmount,2454,New South Wales,Coffs Harbour
FERNTREE GULLY 3156,Ferntree Gully,3156,Victoria,Melbourne
FERNVALE 4306,Fernvale,4306,Queensland,Brisbane
FERNY GROVE 4055,Ferny Grove,4055,Queensland,Brisbane
FERNY HILLS 4055,Ferny Hills,4055,Queensland,Brisbane
FERNY HILLS DC 4055,Ferny Hills DC,4055,Queensland,Brisbane
FERODALE 2318,Ferodale,2318,New South Wales,Newcastle
FERRYDEN PARK 5010,Ferryden Park,5010,South Australia,Adelaide
FIG TREE POCKET 4069,Fig Tree Pocket,4069,Queensland,Brisbane
FIGTREE 2525,Figtree,2525,New South Wales,Wollongong
FINDON 5023,Findon,5023,South Australia,Adelaide
FINGAL 3939,Fingal,3939,Victoria,Melbourne
FINGAL BAY 2315,Fingal Bay,2315,New South Wales,Newcastle
FINGAL HEAD 2487,Fingal Head,2487,New South Wales,Gold Coast
FINNIE 4350,Finnie,4350,Queensland,Toowoomba
FIRLE 5070,Firle,5070,South Australia,Adelaide
FISHER 2611,Fisher,2611,Australian Capital Territory,Canberra
FISHERMANS BAY 2316,Fishermans Bay,2316,New South Wales,Newcastle
FISHERY FALLS 4871,Fishery Falls,4871,Queensland,Cairns
FISHING POINT 2283,Fishing Point,2283,New South Wales,Newcastle
FITZGIBBON 4018,Fitzgibbon,4018,Queensland,Brisbane
FITZROY 3065,Fitzroy,3065,Victoria,Melbourne
FITZROY 5082,Fitzroy,5082,South Australia,Adelaide
FITZROY NORTH 3068,Fitzroy North,3068,Victoria,Melbourne
FIVE DOCK 2046,Five Dock,2046,New South Wales,Sydney
FLAGSTAFF HILL 5159,Flagstaff Hill,5159,South Australia,Adelaide
FLAMETREE 4802,Flametree,4802,Queensland,Mackay
FLAXLEY 5153,Flaxley,5153,South Australia,Adelaide
FLAXTON 4560,Flaxton,4560,Queensland,Sunshine Coast
FLEMINGTON 3031,Flemington,3031,Victoria,Melbourne
FLETCHER 2287,Fletcher,2287,New South Wales,Newcastle
FLETCHER 4381,Fletcher,4381,Queensland,Toowoomba
FLINDERS 2529,Flinders,2529,New South Wales,Wollongong
FLINDERS 3929,Flinders,3929,Victoria,Melbourne
FLINDERS PARK 5025,Flinders Park,5025,South Australia,Adelaide
FLINDERS UNIVERSITY 5042,Flinders University,5042,South Australia,Adelaide
FLINDERS VIEW 4305,Flinders View,4305,Queensland,Brisbane
FLORA HILL 3550,Flora Hill,3550,Victoria,Bendigo
FLORAVILLE 2280,Floraville,2280,New South Wales,Newcastle
FLOREAT 6014,Floreat,6014,Western Australia,Perth
FLOREY 2615,Florey,2615,Australian Capital Territory,Canberra
FLYING FISH POINT 4860,Flying Fish Point,4860,Queensland,Cairns
FLYNN 2615,Flynn,2615,Australian Capital Territory,Canberra
FLYNNS BEACH 2444,Flynns Beach,2444,New South Wales,Port Macquarie
FOOTSCRAY 3011,Footscray,3011,Victoria,Melbourne
FORBES 2871,Forbes,2871,New South Wales,Remote
FORDE 2914,Forde,2914,Australian Capital Territory,Canberra
FOREST GLEN 4556,Forest Glen,4556,Queensland,Sunshine Coast
FOREST HILL 2651,Forest Hill,2651,New South Wales,Albury
FOREST HILL 3131,Forest Hill,3131,Victoria,Melbourne
FOREST HILL 4342,Forest Hill,4342,Queensland,Toowoomba
FOREST LAKE 4078,Forest Lake,4078,Queensland,Brisbane
FOREST LODGE 2037,Forest Lodge,2037,New South Wales,Sydney
FORESTDALE 4118,Forestdale,4118,Queensland,Brisbane
FORESTVILLE 2087,Forestville,2087,New South Wales,Sydney
FORESTVILLE 5035,Forestville,5035,South Australia,Adelaide
FORREST 2603,Forrest,2603,Australian Capital Territory,Canberra
FORRESTDALE 6112,Forrestdale,6112,Western Australia,Perth
FORRESTERS BEACH 2260,Forresters Beach,2260,New South Wales,Central Coast
FORRESTFIELD 6058,Forrestfield,6058,Western Australia,Perth
FORSTER 2428,Forster,2428,New South Wales,Port Macquarie
FORSTER SHOPPING VILLAGE 2428,Forster Shopping Village,2428,New South Wales,Port Macquarie
FORTH 7310,Forth,7310,Tasmania,Launceston
FORTITUDE VALLEY 4006,Fortitude Valley,4006,Queensland,Brisbane
FORTITUDE VALLEY BC 4006,Fortitude Valley BC,4006,Queensland,Brisbane
FOSTERVILLE 3557,Fosterville,3557,Victoria,Bendigo
FOULDEN 4740,Foulden,4740,Queensland,Mackay
FOUNTAIN GATE 3805,Fountain Gate,3805,Victoria,Melbourne
FOUNTAINDALE 2258,Fountaindale,2258,New South Wales,Central Coast
FOXDALE 4800,Foxdale,4800,Queensland,Mackay
FOXGROUND 2534,Foxground,2534,New South Wales,Wollongong
FRANKLIN 2913,Franklin,2913,Australian Capital Territory,Canberra
FRANKSTON 3199,Frankston,3199,Victoria,Melbourne
FRANKSTON EAST 3199,Frankston East,3199,Victoria,Melbourne
FRANKSTON HEIGHTS 3199,Frankston Heights,3199,Victoria,Melbourne
FRANKSTON NORTH 3200,Frankston North,3200,Victoria,Melbourne
FRANKSTON SOUTH 3199,Frankston South,3199,Victoria,Melbourne
FRASER 2615,Fraser,2615,Australian Capital Territory,Canberra
FREDERICKTON 2440,Frederickton,2440,New South Wales,Port Macquarie
FREEMANS 2259,Freemans,2259,New South Wales,Central Coast
FREMANTLE 6160,Fremantle,6160,Western Australia,Perth
FRENCHS FOREST 2086,Frenchs Forest,2086,New South Wales,Sydney
FRENCHS FOREST EAST 2086,Frenchs Forest East,2086,New South Wales,Sydney
FRENCHVILLE 4701,Frenchville,4701,Queensland,Capricorn Coast
FRESHWATER 2096,Freshwater,2096,New South Wales,Sydney
FRESHWATER 4870,Freshwater,4870,Queensland,Cairns
FRESHWATER CREEK 3217,Freshwater Creek,3217,Victoria,Geelong
FREWVILLE 5063,Frewville,5063,South Australia,Adelaide
FRYERSTOWN 3451,Fryerstown,3451,Victoria,Bendigo
FULHAM 5024,Fulham,5024,South Australia,Adelaide
FULHAM GARDENS 5024,Fulham Gardens,5024,South Australia,Adelaide
FULLARTON 5063,Fullarton,5063,South Australia,Adelaide
FULLERTON COVE 2318,Fullerton Cove,2318,New South Wales,Newcastle
FURNISSDALE 6209,Furnissdale,6209,Western Australia,Perth
FYANSFORD 3218,Fyansford,3218,Victoria,Geelong
FYANSFORD 3221,Fyansford,3221,Victoria,Geelong
FYSHWICK 2609,Fyshwick,2609,Australian Capital Territory,Canberra
GAGEBROOK 7030,Gagebrook,7030,Tasmania,Hobart
GAILES 4300,Gailes,4300,Queensland,Brisbane
GALSTON 2159,Galston,2159,New South Wales,Sydney
GARBUTT 4814,Garbutt,4814,Queensland,Townsville
GARBUTT EAST 4814,Garbutt East,4814,Queensland,Townsville
GARDEN CITY 3207,Garden City,3207,Victoria,Melbourne
GARDEN ISLAND 6168,Garden Island,6168,Western Australia,Perth
GARDEN SUBURB 2289,Garden Suburb,2289,New South Wales,Newcastle
GARDENVALE 3185,Gardenvale,3185,Victoria,Melbourne
GARRADUNGA 4860,Garradunga,4860,Queensland,Cairns
GARRAN 2605,Garran,2605,Australian Capital Territory,Canberra
GATESHEAD 2290,Gateshead,2290,New South Wales,Newcastle
GATEWAY ISLAND 3691,Gateway Island,3691,Victoria,Albury
GATTON 4343,Gatton,4343,Queensland,Toowoomba
GATTON COLLEGE 4345,Gatton College,4345,Queensland,Toowoomba
GAVEN 4211,Gaven,4211,Queensland,Gold Coast
GAWLER 5118,Gawler,5118,South Australia,Adelaide
GAWLER BELT 5118,Gawler Belt,5118,South Australia,Adelaide
GAWLER EAST 5118,Gawler East,5118,South Australia,Adelaide
GAWLER SOUTH 5118,Gawler South,5118,South Australia,Adelaide
